,,,,,,,,,,,,,,,,,,,
id,Match #,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,Result Type,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
516,59,2014,Mumbai,"May 30, 2014",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,normal,0,Win By Runs,Kings XI Punjab,24,0,V Sehwag,Wankhede Stadium,HDPK Dharmasena,RJ Tucker,
517,60,2014,Bangalore,"June 1, 2014",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Wickets,Kolkata Knight Riders,0,3,MK Pandey,M Chinnaswamy Stadium,HDPK Dharmasena,BNJ Oxenford,
518,1,2015,Kolkata,"April 8, 2015",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Wickets,Kolkata Knight Riders,0,7,M Morkel,Eden Gardens,S Ravi,C Shamshuddin,
519,2,2015,Chennai,"April 9, 2015",Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Runs,Chennai Super Kings,1,0,A Nehra,"MA Chidambaram Stadium, Chepauk",RK Illingworth,VA Kulkarni,
520,3,2015,Pune,"April 10, 2015",Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Runs,Rajasthan Royals,26,0,JP Faulkner,Maharashtra Cricket Association Stadium,SD Fry,CB Gaffaney,
521,4,2015,Chennai,"April 11, 2015",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,normal,0,Win By Runs,Chennai Super Kings,45,0,BB McCullum,"MA Chidambaram Stadium, Chepauk",RK Illingworth,VA Kulkarni,
522,5,2015,Kolkata,"April 11, 2015",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Wickets,Royal Challengers Bangalore,0,3,CH Gayle,Eden Gardens,S Ravi,C Shamshuddin,
523,6,2015,Delhi,"April 12, 2015",Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Wickets,Rajasthan Royals,0,3,DJ Hooda,Feroz Shah Kotla,SD Fry,CB Gaffaney,
524,7,2015,Mumbai,"April 12, 2015",Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Runs,Kings XI Punjab,18,0,GJ Bailey,Wankhede Stadium,AK Chaudhary,K Srinivasan,
525,8,2015,Bangalore,"April 13, 2015",Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Win By Wickets,Sunrisers Hyderabad,0,8,DA Warner,M Chinnaswamy Stadium,RM Deshpande,RK Illingworth,
526,9,2015,Ahmedabad,"April 14, 2015",Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,Win By Wickets,Rajasthan Royals,0,7,SPD Smith,"Sardar Patel Stadium, Motera",AK Chaudhary,SD Fry,
527,10,2015,Kolkata,"April 30, 2015",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Wickets,Kolkata Knight Riders,0,7,AD Russell,Eden Gardens,AK Chaudhary,M Erasmus,
528,11,2015,Pune,"April 15, 2015",Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,bat,normal,0,Win By Wickets,Delhi Daredevils,0,5,MA Agarwal,Maharashtra Cricket Association Stadium,CB Gaffaney,K Srinath,
529,12,2015,Visakhapatnam,"April 16, 2015",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Wickets,Rajasthan Royals,0,6,AM Rahane,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,PG Pathak,S Ravi,
530,13,2015,Mumbai,"April 17, 2015",Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Win By Wickets,Chennai Super Kings,0,6,A Nehra,Wankhede Stadium,AK Chaudhary,M Erasmus,
531,14,2015,Visakhapatnam,"April 18, 2015",Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,normal,0,Win By Runs,Delhi Daredevils,4,0,JP Duminy,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,PG Pathak,S Ravi,
532,15,2015,Pune,"April 18, 2015",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Wickets,Kolkata Knight Riders,0,4,AD Russell,Maharashtra Cricket Association Stadium,SD Fry,CK Nandan,
533,16,2015,Ahmedabad,"April 19, 2015",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,0,Win By Wickets,Rajasthan Royals,0,8,AM Rahane,"Sardar Patel Stadium, Motera",AK Chaudhary,M Erasmus,
534,17,2015,Bangalore,"April 19, 2015",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Runs,Mumbai Indians,18,0,Harbhajan Singh,M Chinnaswamy Stadium,RK Illingworth,VA Kulkarni,
535,18,2015,Delhi,"April 20, 2015",Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Wickets,Kolkata Knight Riders,0,6,UT Yadav,Feroz Shah Kotla,SD Fry,CB Gaffaney,
536,19,2015,Ahmedabad,"April 21, 2015",Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,tie,0,Win By Wickets,Kings XI Punjab,0,0,SE Marsh,"Sardar Patel Stadium, Motera",M Erasmus,S Ravi,
537,20,2015,Visakhapatnam,"April 22, 2015",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,1,Win By Runs,Sunrisers Hyderabad,16,0,DA Warner,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,RK Illingworth,VA Kulkarni,
538,21,2015,Bangalore,"April 22, 2015",Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Runs,Chennai Super Kings,27,0,SK Raina,M Chinnaswamy Stadium,JD Cloete,C Shamshuddin,
539,22,2015,Delhi,"April 23, 2015",Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Runs,Delhi Daredevils,37,0,SS Iyer,Feroz Shah Kotla,SD Fry,CK Nandan,
540,23,2015,Ahmedabad,"April 24, 2015",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Wickets,Royal Challengers Bangalore,0,9,MA Starc,"Sardar Patel Stadium, Motera",M Erasmus,S Ravi,
541,24,2015,Mumbai,"April 25, 2015",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,Win By Runs,Mumbai Indians,20,0,SL Malinga,Wankhede Stadium,HDPK Dharmasena,CB Gaffaney,
542,25,2015,Chennai,"April 25, 2015",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,0,Win By Runs,Chennai Super Kings,97,0,BB McCullum,"MA Chidambaram Stadium, Chepauk",JD Cloete,C Shamshuddin,
543,26,2015,Delhi,"April 26, 2015",Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Wickets,Royal Challengers Bangalore,0,10,VR Aaron,Feroz Shah Kotla,M Erasmus,S Ravi,
544,27,2015,Chandigarh,"April 27, 2015",Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Runs,Sunrisers Hyderabad,20,0,TA Boult,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,CB Gaffaney,
545,28,2015,Kolkata,"May 7, 2015",Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,Win By Runs,Kolkata Knight Riders,13,0,PP Chawla,Eden Gardens,AK Chaudhary,M Erasmus,
546,29,2015,Bangalore,"April 29, 2015",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,no result,0,Win By Wickets,,0,0,,M Chinnaswamy Stadium,JD Cloete,PG Pathak,
547,30,2015,Chennai,"April 28, 2015",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Runs,Chennai Super Kings,2,0,DJ Bravo,"MA Chidambaram Stadium, Chepauk",RM Deshpande,VA Kulkarni,
548,31,2015,Delhi,"May 1, 2015",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Wickets,Delhi Daredevils,0,9,NM Coulter-Nile,Feroz Shah Kotla,RK Illingworth,S Ravi,
549,32,2015,Mumbai,"May 1, 2015",Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Runs,Mumbai Indians,8,0,AT Rayudu,Wankhede Stadium,HDPK Dharmasena,CK Nandan,
550,33,2015,Bangalore,"May 2, 2015",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Wickets,Royal Challengers Bangalore,0,7,Mandeep Singh,M Chinnaswamy Stadium,JD Cloete,PG Pathak,
551,34,2015,Hyderabad,"May 2, 2015",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,normal,0,Win By Runs,Sunrisers Hyderabad,22,0,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,K Srinivasan,
552,35,2015,Chandigarh,"May 3, 2015",Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,normal,0,Win By Runs,Mumbai Indians,23,0,LMP Simmons,"Punjab Cricket Association Stadium, Mohali",RK Illingworth,VA Kulkarni,
553,36,2015,Mumbai,"May 3, 2015",Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Runs,Rajasthan Royals,14,0,AM Rahane,Brabourne Stadium,HDPK Dharmasena,CB Gaffaney,
554,37,2015,Chennai,"May 4, 2015",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Win By Runs,Chennai Super Kings,24,0,SK Raina,"MA Chidambaram Stadium, Chepauk",C Shamshuddin,K Srinath,
555,38,2015,Kolkata,"May 4, 2015",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Win By Runs,Kolkata Knight Riders,35,0,UT Yadav,Eden Gardens,AK Chaudhary,M Erasmus,
556,39,2015,Mumbai,"May 5, 2015",Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,normal,0,Win By Wickets,Mumbai Indians,0,5,Harbhajan Singh,Wankhede Stadium,HDPK Dharmasena,CB Gaffaney,
557,40,2015,Bangalore,"May 6, 2015",Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Runs,Royal Challengers Bangalore,138,0,CH Gayle,M Chinnaswamy Stadium,RK Illingworth,VA Kulkarni,
558,41,2015,Mumbai,"May 7, 2015",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Runs,Sunrisers Hyderabad,7,0,EJG Morgan,Brabourne Stadium,JD Cloete,C Shamshuddin,
559,42,2015,Chennai,"May 8, 2015",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,normal,0,Win By Wickets,Mumbai Indians,0,6,HH Pandya,"MA Chidambaram Stadium, Chepauk",CB Gaffaney,CK Nandan,
560,43,2015,Kolkata,"May 9, 2015",Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,0,Win By Wickets,Kolkata Knight Riders,0,1,AD Russell,Eden Gardens,AK Chaudhary,HDPK Dharmasena,
561,44,2015,Raipur,"May 9, 2015",Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,normal,0,Win By Runs,Sunrisers Hyderabad,6,0,MC Henriques,Shaheed Veer Narayan Singh International Stadium,VA Kulkarni,S Ravi,
562,45,2015,Mumbai,"May 10, 2015",Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,normal,0,Win By Runs,Royal Challengers Bangalore,39,0,AB de Villiers,Wankhede Stadium,JD Cloete,C Shamshuddin,
563,46,2015,Chennai,"May 10, 2015",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,0,Win By Runs,Chennai Super Kings,12,0,RA Jadeja,"MA Chidambaram Stadium, Chepauk",M Erasmus,CK Nandan,
564,47,2015,Hyderabad,"May 11, 2015",Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,bat,normal,0,Win By Runs,Sunrisers Hyderabad,5,0,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,HDPK Dharmasena,
565,48,2015,Raipur,"May 12, 2015",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,0,Win By Wickets,Delhi Daredevils,0,6,Z Khan,Shaheed Veer Narayan Singh International Stadium,RK Illingworth,VA Kulkarni,
566,49,2015,Chandigarh,"May 13, 2015",Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Runs,Kings XI Punjab,22,0,AR Patel,"Punjab Cricket Association Stadium, Mohali",JD Cloete,C Shamshuddin,
567,50,2015,Mumbai,"May 14, 2015",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Runs,Mumbai Indians,5,0,HH Pandya,Wankhede Stadium,RK Illingworth,VA Kulkarni,
568,51,2015,Hyderabad,"May 15, 2015",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,normal,1,Win By Wickets,Royal Challengers Bangalore,0,6,V Kohli,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,HDPK Dharmasena,
569,52,2015,Chandigarh,"May 16, 2015",Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,normal,0,Win By Wickets,Chennai Super Kings,0,7,P Negi,"Punjab Cricket Association Stadium, Mohali",CK Nandan,C Shamshuddin,
570,53,2015,Mumbai,"May 16, 2015",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Win By Runs,Rajasthan Royals,9,0,SR Watson,Brabourne Stadium,RM Deshpande,RK Illingworth,
571,54,2015,Bangalore,"May 17, 2015",Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,no result,0,Win By Wickets,,0,0,,M Chinnaswamy Stadium,HDPK Dharmasena,K Srinivasan,
572,55,2015,Hyderabad,"May 17, 2015",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,normal,0,Win By Wickets,Mumbai Indians,0,9,MJ McClenaghan,"Rajiv Gandhi International Stadium, Uppal",CB Gaffaney,K Srinath,
573,56,2015,Mumbai,"May 19, 2015",Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Win By Runs,Mumbai Indians,25,0,KA Pollard,Wankhede Stadium,HDPK Dharmasena,RK Illingworth,
574,57,2015,Pune,"May 20, 2015",Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,0,Win By Runs,Royal Challengers Bangalore,71,0,AB de Villiers,Maharashtra Cricket Association Stadium,AK Chaudhary,C Shamshuddin,
575,58,2015,Ranchi,"May 22, 2015",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Win By Wickets,Chennai Super Kings,0,3,A Nehra,JSCA International Stadium Complex,AK Chaudhary,CB Gaffaney,
576,59,2015,Kolkata,"May 24, 2015",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Win By Runs,Mumbai Indians,41,0,RG Sharma,Eden Gardens,HDPK Dharmasena,RK Illingworth,
577,1,2016,Mumbai,"April 9, 2016",Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,normal,0,Win By Wickets,Rising Pune Supergiants,0,9,AM Rahane,Wankhede Stadium,HDPK Dharmasena,CK Nandan,
578,2,2016,Kolkata,"April 10, 2016",Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Wickets,Kolkata Knight Riders,0,9,AD Russell,Eden Gardens,S Ravi,C Shamshuddin,
579,3,2016,Chandigarh,"April 11, 2016",Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,normal,0,Win By Wickets,Gujarat Lions,0,5,AJ Finch,"Punjab Cricket Association IS Bindra Stadium, Mohali",AK Chaudhary,VA Kulkarni,
580,4,2016,Bangalore,"April 12, 2016",Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Win By Runs,Royal Challengers Bangalore,45,0,AB de Villiers,M Chinnaswamy Stadium,HDPK Dharmasena,VK Sharma,
581,5,2016,Kolkata,"April 13, 2016",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Wickets,Mumbai Indians,0,6,RG Sharma,Eden Gardens,Nitin Menon,S Ravi,
582,6,2016,Rajkot,"April 14, 2016",Rising Pune Supergiants,Gujarat Lions,Rising Pune Supergiants,bat,normal,0,Win By Wickets,Gujarat Lions,0,7,AJ Finch,Saurashtra Cricket Association Stadium,VA Kulkarni,CK Nandan,
583,7,2016,Delhi,"April 15, 2016",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Wickets,Delhi Daredevils,0,8,A Mishra,Feroz Shah Kotla,S Ravi,C Shamshuddin,
584,8,2016,Hyderabad,"April 16, 2016",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,normal,0,Win By Wickets,Kolkata Knight Riders,0,8,G Gambhir,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,CK Nandan,
585,9,2016,Mumbai,"April 16, 2016",Mumbai Indians,Gujarat Lions,Gujarat Lions,field,normal,0,Win By Wickets,Gujarat Lions,0,3,AJ Finch,Wankhede Stadium,HDPK Dharmasena,VK Sharma,
586,10,2016,Chandigarh,"April 17, 2016",Rising Pune Supergiants,Kings XI Punjab,Rising Pune Supergiants,bat,normal,0,Win By Wickets,Kings XI Punjab,0,6,M Vohra,"Punjab Cricket Association IS Bindra Stadium, Mohali",S Ravi,C Shamshuddin,
587,11,2016,Bangalore,"April 17, 2016",Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Wickets,Delhi Daredevils,0,7,Q de Kock,M Chinnaswamy Stadium,VA Kulkarni,A Nand Kishore,
588,12,2016,Hyderabad,"April 18, 2016",Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Win By Wickets,Sunrisers Hyderabad,0,7,DA Warner,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,VK Sharma,
589,13,2016,Chandigarh,"April 19, 2016",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Wickets,Kolkata Knight Riders,0,6,RV Uthappa,"Punjab Cricket Association IS Bindra Stadium, Mohali",S Ravi,C Shamshuddin,
590,14,2016,Mumbai,"April 20, 2016",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Wickets,Mumbai Indians,0,6,RG Sharma,Wankhede Stadium,AK Chaudhary,CK Nandan,
591,15,2016,Rajkot,"April 21, 2016",Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Win By Wickets,Sunrisers Hyderabad,0,10,B Kumar,Saurashtra Cricket Association Stadium,K Bharatan,HDPK Dharmasena,
592,16,2016,Pune,"April 22, 2016",Royal Challengers Bangalore,Rising Pune Supergiants,Rising Pune Supergiants,field,normal,0,Win By Runs,Royal Challengers Bangalore,13,0,AB de Villiers,Maharashtra Cricket Association Stadium,CB Gaffaney,VK Sharma,
593,17,2016,Delhi,"April 23, 2016",Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Runs,Delhi Daredevils,10,0,SV Samson,Feroz Shah Kotla,S Ravi,C Shamshuddin,
594,18,2016,Hyderabad,"April 23, 2016",Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Win By Wickets,Sunrisers Hyderabad,0,5,Mustafizur Rahman,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,CK Nandan,
595,19,2016,Rajkot,"April 24, 2016",Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,bat,normal,0,Win By Wickets,Gujarat Lions,0,6,V Kohli,Saurashtra Cricket Association Stadium,K Bharatan,BNJ Oxenford,
596,20,2016,Pune,"April 24, 2016",Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Wickets,Kolkata Knight Riders,0,2,SA Yadav,Maharashtra Cricket Association Stadium,CB Gaffaney,A Nand Kishore,
597,21,2016,Chandigarh,"April 25, 2016",Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Runs,Mumbai Indians,25,0,PA Patel,"Punjab Cricket Association IS Bindra Stadium, Mohali",Nitin Menon,RJ Tucker,
598,22,2016,Hyderabad,"April 26, 2016",Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,field,normal,1,Win By Runs,Rising Pune Supergiants,34,0,AB Dinda,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,CK Nandan,
599,23,2016,Delhi,"April 27, 2016",Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Runs,Gujarat Lions,1,0,CH Morris,Feroz Shah Kotla,M Erasmus,S Ravi,
600,24,2016,Mumbai,"April 28, 2016",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Wickets,Mumbai Indians,0,6,RG Sharma,Wankhede Stadium,Nitin Menon,RJ Tucker,
601,25,2016,Pune,"April 29, 2016",Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,field,normal,0,Win By Wickets,Gujarat Lions,0,3,DR Smith,Maharashtra Cricket Association Stadium,CB Gaffaney,BNJ Oxenford,
602,26,2016,Delhi,"April 30, 2016",Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Runs,Delhi Daredevils,27,0,CR Brathwaite,Feroz Shah Kotla,KN Ananthapadmanabhan,M Erasmus,
603,27,2016,Hyderabad,"April 30, 2016",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Runs,Sunrisers Hyderabad,15,0,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,HDPK Dharmasena,
604,28,2016,Rajkot,"May 1, 2016",Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,normal,0,Win By Runs,Kings XI Punjab,23,0,AR Patel,Saurashtra Cricket Association Stadium,BNJ Oxenford,VK Sharma,
605,29,2016,Pune,"May 1, 2016",Rising Pune Supergiants,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Wickets,Mumbai Indians,0,8,RG Sharma,Maharashtra Cricket Association Stadium,AY Dandekar,RJ Tucker,
606,30,2016,Bangalore,"May 2, 2016",Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Wickets,Kolkata Knight Riders,0,5,AD Russell,M Chinnaswamy Stadium,M Erasmus,S Ravi,
607,31,2016,Rajkot,"May 3, 2016",Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Wickets,Delhi Daredevils,0,8,RR Pant,Saurashtra Cricket Association Stadium,CB Gaffaney,BNJ Oxenford,
608,32,2016,Kolkata,"May 4, 2016",Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Runs,Kolkata Knight Riders,7,0,AD Russell,Eden Gardens,AK Chaudhary,HDPK Dharmasena,
609,33,2016,Delhi,"May 5, 2016",Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,field,normal,0,Win By Wickets,Rising Pune Supergiants,0,7,AM Rahane,Feroz Shah Kotla,C Shamshuddin,RJ Tucker,
610,34,2016,Hyderabad,"May 6, 2016",Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Win By Wickets,Sunrisers Hyderabad,0,5,B Kumar,"Rajiv Gandhi International Stadium, Uppal",M Erasmus,S Ravi,
611,35,2016,Bangalore,"May 7, 2016",Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Wickets,Royal Challengers Bangalore,0,7,V Kohli,M Chinnaswamy Stadium,CB Gaffaney,BNJ Oxenford,
612,36,2016,Chandigarh,"May 7, 2016",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Runs,Kings XI Punjab,9,0,MP Stoinis,"Punjab Cricket Association IS Bindra Stadium, Mohali",HDPK Dharmasena,CK Nandan,
613,37,2016,Visakhapatnam,"May 8, 2016",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Runs,Sunrisers Hyderabad,85,0,A Nehra,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,S Ravi,C Shamshuddin,
614,38,2016,Kolkata,"May 8, 2016",Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,normal,0,Win By Wickets,Gujarat Lions,0,5,P Kumar,Eden Gardens,M Erasmus,RJ Tucker,
615,39,2016,Chandigarh,"May 9, 2016",Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Runs,Royal Challengers Bangalore,1,0,SR Watson,"Punjab Cricket Association IS Bindra Stadium, Mohali",AK Chaudhary,HDPK Dharmasena,
616,40,2016,Visakhapatnam,"May 10, 2016",Sunrisers Hyderabad,Rising Pune Supergiants,Sunrisers Hyderabad,bat,normal,0,Win By Runs,Sunrisers Hyderabad,4,0,A Zampa,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,CB Gaffaney,VK Sharma,
617,41,2016,Bangalore,"May 11, 2016",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Wickets,Mumbai Indians,0,6,KH Pandya,M Chinnaswamy Stadium,AY Dandekar,C Shamshuddin,
618,42,2016,Hyderabad,"May 12, 2016",Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Wickets,Delhi Daredevils,0,7,CH Morris,"Rajiv Gandhi International Stadium, Uppal",K Bharatan,M Erasmus,
619,43,2016,Visakhapatnam,"May 13, 2016",Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,normal,0,Win By Wickets,Kings XI Punjab,0,7,MP Stoinis,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,HDPK Dharmasena,CK Nandan,
620,44,2016,Bangalore,"May 14, 2016",Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,normal,0,Win By Runs,Royal Challengers Bangalore,144,0,AB de Villiers,M Chinnaswamy Stadium,AY Dandekar,VK Sharma,
621,45,2016,Kolkata,"May 14, 2016",Rising Pune Supergiants,Kolkata Knight Riders,Rising Pune Supergiants,bat,normal,1,Win By Wickets,Kolkata Knight Riders,0,8,YK Pathan,Eden Gardens,A Nand Kishore,BNJ Oxenford,
622,46,2016,Chandigarh,"May 15, 2016",Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,normal,0,Win By Wickets,Sunrisers Hyderabad,0,7,HM Amla,"Punjab Cricket Association IS Bindra Stadium, Mohali",KN Ananthapadmanabhan,M Erasmus,
623,47,2016,Visakhapatnam,"May 15, 2016",Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Runs,Mumbai Indians,80,0,KH Pandya,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Nitin Menon,CK Nandan,
624,48,2016,Kolkata,"May 16, 2016",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Wickets,Royal Challengers Bangalore,0,9,V Kohli,Eden Gardens,CB Gaffaney,A Nand Kishore,
625,49,2016,Visakhapatnam,"May 17, 2016",Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,field,normal,1,Win By Runs,Rising Pune Supergiants,19,0,AB Dinda,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Nitin Menon,C Shamshuddin,
